101,201,302,1
101,301,402,1
101,302,403,1
101,401,504,1
101,402,501,1
101,402,502,1
101,501,607,1
101,502,607,1
101,503,603,1
101,503,604,1
101,505,610,1
101,506,611,1
201,402,601,0
201,201,401,0
201,401,605,1
201,403,606,0
201,301,505,0
201,302,504,0
201,302,506,1
201,401,602,0
201,402,603,0
201,402,604,1
201,301,503,0
301,301,609,0
301,302,608,1
301,302,610,0
302,302,611,0
000,301,302,0
000,401,402,0
000,501,503,0
000,503,506,0
000,502,505,0
000,601,603,0
000,608,605,0
000,606,609,1
000,607,609,0
000,604,608,0






